"sample";"year";"plot";"sp";"lambda"
1;2019;3;"PLCO";NA
1;2019;3;"POMA";76,4202848497492
1;2019;3;"POMO";NA
1;2019;3;"PUPA";NA
1;2019;3;"SASO";23,0193062048987
1;2019;3;"SCLA";NA
1;2019;3;"SOAS";NA
1;2019;3;"SPRU";NA
1;2019;3;"SUSP";NA
1;2019;4;"BEMA";121,658974526065
1;2019;4;"CETE";3101,65641708877
1;2019;4;"CHFU";742,83818320293
1;2019;4;"CHMI";NA
1;2019;4;"HOMA";13,8618805573825
1;2019;4;"LEMA";251,900973198852
1;2019;4;"LYTR";NA
1;2019;4;"MEEL";NA
1;2019;4;"MESU";618,770829271131
1;2019;4;"PAIN";1,01176927074989
1;2019;4;"PLCO";18,2225779755487
1;2019;4;"POMA";76,4202848497492
1;2019;4;"POMO";NA
1;2019;4;"PUPA";NA
1;2019;4;"SASO";23,0193062048987
1;2019;4;"SCLA";NA
1;2019;4;"SOAS";NA
1;2019;4;"SPRU";4802,29099647085
1;2019;4;"SUSP";NA
1;2019;5;"BEMA";NA
1;2019;5;"CETE";3101,65641708877
1;2019;5;"CHFU";742,83818320293
1;2019;5;"CHMI";NA
1;2019;5;"HOMA";13,8618805573825
1;2019;5;"LEMA";251,900973198852
1;2019;5;"LYTR";NA
1;2019;5;"MEEL";11,5353860929364
1;2019;5;"MESU";NA
1;2019;5;"PAIN";1,01176927074989
1;2019;5;"PLCO";NA
1;2019;5;"POMA";76,4202848497492
1;2019;5;"POMO";NA
1;2019;5;"PUPA";NA
1;2019;5;"SASO";23,0193062048987
1;2019;5;"SCLA";NA
1;2019;5;"SOAS";501,371119706587
1;2019;5;"SPRU";NA
1;2019;5;"SUSP";NA
1;2019;6;"BEMA";NA
1;2019;6;"CETE";3101,65641708877
1;2019;6;"CHFU";742,83818320293
1;2019;6;"CHMI";NA
