"year";"n.plots";"plots";"richness"
"2016";"4";"1_2_5_6";15
"2017";"4";"1_2_5_6";17
"2018";"4";"1_2_5_6";13
"2019";"4";"1_2_5_6";16
"2015";"4";"1_2_5_7";18
"2016";"4";"1_2_5_7";18
"2017";"4";"1_2_5_7";17
"2018";"4";"1_2_5_7";13
"2019";"4";"1_2_5_7";17
"2015";"4";"1_2_5_8";18
"2016";"4";"1_2_5_8";18
"2017";"4";"1_2_5_8";17
"2018";"4";"1_2_5_8";13
"2019";"4";"1_2_5_8";17
"2015";"4";"1_2_5_9";18
"2016";"4";"1_2_5_9";18
"2017";"4";"1_2_5_9";17
"2018";"4";"1_2_5_9";13
"2019";"4";"1_2_5_9";17
"2015";"4";"1_2_6_7";18
"2016";"4";"1_2_6_7";18
"2017";"4";"1_2_6_7";17
"2018";"4";"1_2_6_7";13
"2019";"4";"1_2_6_7";17
"2015";"4";"1_2_6_8";18
"2016";"4";"1_2_6_8";18
"2017";"4";"1_2_6_8";17
"2018";"4";"1_2_6_8";13
"2019";"4";"1_2_6_8";17
"2015";"4";"1_2_6_9";18
"2016";"4";"1_2_6_9";18
"2017";"4";"1_2_6_9";17
"2018";"4";"1_2_6_9";13
"2019";"4";"1_2_6_9";18
"2015";"4";"1_2_7_8";18
"2016";"4";"1_2_7_8";17
"2017";"4";"1_2_7_8";16
"2018";"4";"1_2_7_8";13
"2019";"4";"1_2_7_8";17
"2015";"4";"1_2_7_9";18
"2016";"4";"1_2_7_9";18
"2017";"4";"1_2_7_9";16
"2018";"4";"1_2_7_9";13
"2019";"4";"1_2_7_9";18
"2015";"4";"1_2_8_9";18
"2016";"4";"1_2_8_9";18
"2017";"4";"1_2_8_9";16
"2018";"4";"1_2_8_9";13
"2019";"4";"1_2_8_9";18
"2015";"4";"1_3_4_5";19
"2016";"4";"1_3_4_5";14
"2017";"4";"1_3_4_5";16
"2018";"4";"1_3_4_5";11
"2019";"4";"1_3_4_5";15
"2015";"4";"1_3_4_6";19
"2016";"4";"1_3_4_6";15
"2017";"4";"1_3_4_6";16
"2018";"4";"1_3_4_6";11
"2019";"4";"1_3_4_6";13
"2015";"4";"1_3_4_7";19
"2016";"4";"1_3_4_7";18
"2017";"4";"1_3_4_7";16
"2018";"4";"1_3_4_7";11
"2019";"4";"1_3_4_7";17
"2015";"4";"1_3_4_8";19
"2016";"4";"1_3_4_8";18
"2017";"4";"1_3_4_8";16
"2018";"4";"1_3_4_8";11
"2019";"4";"1_3_4_8";16
"2015";"4";"1_3_4_9";19
"2016";"4";"1_3_4_9";18
"2017";"4";"1_3_4_9";16
"2018";"4";"1_3_4_9";11
"2019";"4";"1_3_4_9";16
"2015";"4";"1_3_5_6";17
"2016";"4";"1_3_5_6";15
"2017";"4";"1_3_5_6";16
"2018";"4";"1_3_5_6";9
"2019";"4";"1_3_5_6";14
"2015";"4";"1_3_5_7";18
"2016";"4";"1_3_5_7";18
"2017";"4";"1_3_5_7";16
"2018";"4";"1_3_5_7";9
"2019";"4";"1_3_5_7";17
"2015";"4";"1_3_5_8";18
"2016";"4";"1_3_5_8";18
"2017";"4";"1_3_5_8";16
"2018";"4";"1_3_5_8";9
"2019";"4";"1_3_5_8";16
"2015";"4";"1_3_5_9";18
"2016";"4";"1_3_5_9";18
"2017";"4";"1_3_5_9";16
"2018";"4";"1_3_5_9";9
"2019";"4";"1_3_5_9";16
"2015";"4";"1_3_6_7";18
"2016";"4";"1_3_6_7";18
"2017";"4";"1_3_6_7";16
"2018";"4";"1_3_6_7";9
"2019";"4";"1_3_6_7";17
"2015";"4";"1_3_6_8";18
"2016";"4";"1_3_6_8";18
"2017";"4";"1_3_6_8";16
"2018";"4";"1_3_6_8";9
"2019";"4";"1_3_6_8";16
"2015";"4";"1_3_6_9";18
"2016";"4";"1_3_6_9";18
"2017";"4";"1_3_6_9";16
"2018";"4";"1_3_6_9";9
"2019";"4";"1_3_6_9";16
"2015";"4";"1_3_7_8";18
"2016";"4";"1_3_7_8";17
"2017";"4";"1_3_7_8";15
"2018";"4";"1_3_7_8";9
"2019";"4";"1_3_7_8";17
"2015";"4";"1_3_7_9";18
"2016";"4";"1_3_7_9";18
"2017";"4";"1_3_7_9";15
"2018";"4";"1_3_7_9";9
"2019";"4";"1_3_7_9";18
"2015";"4";"1_3_8_9";18
"2016";"4";"1_3_8_9";18
"2017";"4";"1_3_8_9";15
"2018";"4";"1_3_8_9";9
"2019";"4";"1_3_8_9";17
"2015";"4";"1_4_5_6";19
"2016";"4";"1_4_5_6";15
"2017";"4";"1_4_5_6";16
"2018";"4";"1_4_5_6";10
"2019";"4";"1_4_5_6";15
"2015";"4";"1_4_5_7";19
"2016";"4";"1_4_5_7";18
"2017";"4";"1_4_5_7";16
"2018";"4";"1_4_5_7";10
"2019";"4";"1_4_5_7";17
"2015";"4";"1_4_5_8";19
"2016";"4";"1_4_5_8";18
"2017";"4";"1_4_5_8";16
"2018";"4";"1_4_5_8";10
"2019";"4";"1_4_5_8";16
"2015";"4";"1_4_5_9";19
"2016";"4";"1_4_5_9";18
"2017";"4";"1_4_5_9";16
"2018";"4";"1_4_5_9";10
"2019";"4";"1_4_5_9";17
"2015";"4";"1_4_6_7";19
"2016";"4";"1_4_6_7";18
"2017";"4";"1_4_6_7";16
"2018";"4";"1_4_6_7";10
"2019";"4";"1_4_6_7";17
"2015";"4";"1_4_6_8";19
"2016";"4";"1_4_6_8";18
"2017";"4";"1_4_6_8";16
"2018";"4";"1_4_6_8";10
"2019";"4";"1_4_6_8";16
"2015";"4";"1_4_6_9";19
"2016";"4";"1_4_6_9";18
"2017";"4";"1_4_6_9";16
"2018";"4";"1_4_6_9";10
"2019";"4";"1_4_6_9";16
"2015";"4";"1_4_7_8";19
"2016";"4";"1_4_7_8";18
"2017";"4";"1_4_7_8";16
"2018";"4";"1_4_7_8";10
"2019";"4";"1_4_7_8";17
"2015";"4";"1_4_7_9";19
"2016";"4";"1_4_7_9";19
"2017";"4";"1_4_7_9";16
"2018";"4";"1_4_7_9";10
"2019";"4";"1_4_7_9";18
"2015";"4";"1_4_8_9";19
"2016";"4";"1_4_8_9";19
"2017";"4";"1_4_8_9";16
"2018";"4";"1_4_8_9";10
